id,original_language,original_title,Popularity,release_date,title,AVG Rating,Vote Count,Genre,release_year
476549,en,Escape from Mr. Lemoncello's Library,6.349,2017-10-09,Escape from Mr. Lemoncello's Library,5.0,14,"['Family', 'Fantasy']",2017
433945,ja,東京喰種 トーキョーグール,6.344,2017-07-16,Tokyo Ghoul,6.3,76,"['Action', 'Drama', 'Horror', 'Thriller']",2017
432836,ko,살인자의 기억법,6.338,2017-09-08,Memoir of a Murderer,7.4,58,"['Thriller', 'Action', 'Crime']",2017
353575,en,LBJ,6.304,2017-11-03,LBJ,6.6,65,['Drama'],2017
408272,en,Catfight,6.294,2017-03-03,Catfight,5.6,83,"['Comedy', 'Drama']",2017
397601,en,The Bachelors,6.285,2017-10-20,The Bachelors,7.0,61,"['Comedy', 'Drama']",2017
381028,en,Tower,6.276,2016-03-13,Tower,7.8,102,"['Animation', 'Crime', 'Other']",2016
359228,en,Ghost House,6.271,2017-08-25,Ghost House,5.1,58,"['Thriller', 'Horror', 'Other']",2017
412209,en,Tramps,6.267,2017-04-21,Tramps,6.1,111,"['Comedy', 'Romance']",2017
439058,en,Hey Arnold! The Jungle Movie,6.266,2017-11-23,Hey Arnold! The Jungle Movie,7.8,63,"['Comedy', 'Animation', 'Adventure']",2017
432789,en,The Incredible Jessica James,6.255,2017-01-27,The Incredible Jessica James,6.3,112,"['Romance', 'Comedy']",2017
481850,en,Demi Lovato: Simply Complicated,6.245,2017-10-17,Demi Lovato: Simply Complicated,8.4,88,"['Other', 'Other']",2017
436398,en,Dead Over Heels: An Aurora Teagarden Mystery,6.243,2017-03-19,Dead Over Heels: An Aurora Teagarden Mystery,6.5,19,"['Other', 'Other', 'Crime', 'Drama']",2017
435107,en,A Royal Winter,6.233,2017-01-14,A Royal Winter,6.3,48,"['Other', 'Romance', 'Drama']",2017
383538,en,The Shadow Effect,6.231,2017-05-02,The Shadow Effect,4.8,74,"['Science Fiction', 'Action', 'Thriller']",2017
426254,en,Marjorie Prime,6.229,2017-08-18,Marjorie Prime,6.0,78,"['Drama', 'Science Fiction']",2017
